Customer Remarks,category,cleaned_remarks,category_encoded
"You've sent us a messageToday, Aug 07 05:20 AMDear Shopzilla, i got damage and defective item on 20july2023. Same day I requested for return and need replacement. My replacement order came on 25 july 2023but delivery boy denied for delivering. He told we have to come in their office for collection of item. Again he canceled our order. I complaind, and put a return request again , my replacement order again came on 27 july2023 but again delivery boy refused for delivering. And he canceled our order. I complained again. 0n 01aug showing my query resolved on your application. I again complained, i did not get any product. I was very disappointed, i need my refund. I again put complained for refund. Again delivery boy did not come for picking up my order and canceled my return request. I agained complained. Every time Shopzilla showing my query status resolved but i did not get any help for come out to this",Returns,youve sent us a messagetoday aug 07 0520 amdear shopzilla i got damage and defective item on 20july2023 same day i requested for return and need replacement my replacement order came on 25 july 2023but delivery boy denied for delivering he told we have to come in their office for collection of item again he canceled our order i complaind and put a return request again my replacement order again came on 27 july2023 but again delivery boy refused for delivering and he canceled our order i complained again 0n 01aug showing my query resolved on your application i again complained i did not get any product i was very disappointed i need my refund i again put complained for refund again delivery boy did not come for picking up my order and canceled my return request i agained complained every time shopzilla showing my query status resolved but i did not get any help for come out to this,10
Very nice girl voice ,Order Related,very nice girl voice,5
Plz Mera problem  ,Returns,plz mera problem,10
Timly deliver..last time 10.00oclock,Product Queries,timly deliverlast time 1000oclock,8
Very nice person for understand my problem thanku Shopzilla ,Returns,very nice person for understand my problem thanku shopzilla,10
Order nerve deliver on time,Order Related,order nerve deliver on time,5
Bahut pagal banaya meri company ki chhutti   product ke paise kahan gaye yah product meri koi kam ka nahin hai maine aapko tweet bhi kar diya S pzilla ko tweet Instagram per message sab   diya mere pass Mel bhi aaya hai Aaj bol rahe hain contact  ni pa raha hai aur mera number bhi yahi hai pagal aur j oth   bol rahe  ,Returns,bahut pagal banaya meri company ki chhutti product ke paise kahan gaye yah product meri koi kam ka nahin hai maine aapko tweet bhi kar diya s pzilla ko tweet instagram per message sab diya mere pass mel bhi aaya hai aaj bol rahe hain contact ni pa raha hai aur mera number bhi yahi hai pagal aur j oth bol rahe,10
Good,Returns,good,10
Plz refund my amount ,Returns,plz refund my amount,10
The agent listened to me very politely and addressed my concern. I am happy with the support provided by her.,Order Related,the agent listened to me very politely and addressed my concern i am happy with the support provided by her,5
Very good ,Feedback,very good,2
Try to deliver products at time ,Order Related,try to deliver products at time,5
"Our order was cancled without informing us.We have contacted helpline executive but our issue was not resolved.We are frustated amd they are telling us your refund will be provided within 10 days.And we have to take that tablet to our office by our last date as per we were informed by our senior.Now how can i buy another tablet.We don't have money how can we buy another tablet now,.We don't know anything just refund our money or ship our order today i.e.7th august 2023.????????",Refund Related,our order was cancled without informing uswe have contacted helpline executive but our issue was not resolvedwe are frustated amd they are telling us your refund will be provided within 10 daysand we have to take that tablet to our office by our last date as per we were informed by our seniornow how can i buy another tabletwe dont have money how can we buy another tablet nowwe dont know anything just refund our money or ship our order today ie7th august 2023,9
9k,Returns,9k,10
"very good work, am very heppy",Order Related,very good work am very heppy,5
Good,Order Related,good,5
Very very good Shopzilla customer care bahut   help,Order Related,very very good shopzilla customer care bahut help,5
Outstanding Customer Care Agent ,Order Related,outstanding customer care agent,5
Very bad,Returns,very bad,10
Please solve my problem as early as possible.....thank u,Returns,please solve my problem as early as possiblethank u,10
Just return my order,Returns,just return my order,10
Every time don't tell that the backend team will coordinate. Please solve customer's issue on priority bases as customer's are facing issue for more time than usual waiting for your response. Your backend team usually do not coordinate with us for solving our issue,Returns,every time dont tell that the backend team will coordinate please solve customers issue on priority bases as customers are facing issue for more time than usual waiting for your response your backend team usually do not coordinate with us for solving our issue,10
Very nice ,Refund Related,very nice,9
Behaviour is very adorable so grateful ,Returns,behaviour is very adorable so grateful,10
very good ,Order Related,very good,5
thanks you,Refund Related,thanks you,9
Good ,Returns,good,10
